label	text
safety	Side effects of most medicines is worse than the ailment
safety	No such thing as a completely safe and effective vax!
safety	Not a safe vaccine but okay
safety	The HPV vaccine is a very dangerous vaccine, which has killed and crippled numerous people
safety	HPV vaccines the one killing girls. Stop the vaccines!! Stop the killing!!
safety	Gardasil kills. No thank you.
safety	HPV vaccine causes abnormal paps, seizures, POTS, and death. Much better to risk a few warts than a lethal injection
safety	It caused ovarian failure in some gilrs so not worth it in my book!
safety	...I read research papers that said it's linked to endometriosis, mental health and other long-term effects
policy	Most HPV clears the body without ANY intervention! These cancers are extremely rare 0.0012%! Side effects from this vaccine NOT rare!
policy	Leave the kids alone, I'm beggining to think the kids would be better off having no vaccines, a healthy lifestyle, natural food clean water.
policy	Y'all don't need HPV vaccine... your chances of getting cervical cancer are low... and 95% of women have/had HPV your body clears it out by itself
policy	How do you get HPV? Is it airborne, in the water or food. Medicine should not be treating bad behavior.
policy	Also, don't have sex until you're married and you'll be fine withou an unnecessary vaccine
policy	Keep your pants zipped before marriage and don't have to worry about this. I did, and my husband did no HPV
conspiracy	Rush to market too soon, now we have a bunch of young women who are pyaing the price
conspiracy	HPV Gardasil was NVER placebo tested. The placebo group was a FAKE placebo - full of aluminum 
conspiracy	My dad worked in pharmaceuticals and he never let me get that vaccine. They bypassed a lot of safety standards to get it on the market
conspiracy	Safe and effective: the more you repeat it, the more people might believe it. This is not science, this is assumption upon assumption
conspiracy	I look forward to CDC making a PUBLIC effort to regain the nation's trust instead of just pretending the lies you fed us were inconsequential
conspiracy	Didn't they say that it was falsified that it protects against cancer
conspiracy	We are all a "pool" of Guinea pigs for these big pharmaceutical companies... no thanks!
conspiracy	No, no, and no, this is a sterilization program
conspiracy	What more does it take to realize that vaccines are actually a bioweapon
mistrust	Gardasil is a bad vax do not give it to your child it's not girls they target but the boys as well. The FDA knows it dangerous side effects it will do.
mistrust	The political CDC has gotten nearly everything wrong. Does ANYONE gave any faith in this? Yup. Gotta keep selling them shots, no matter what!!
mistrust	Doctors and pHARMa companies should be charged with child abuse to the fullest extent of the law... along with any other charges
nustrust	Stories like yours are destructive to the money-making agenda of big Pharma. That's why they won't listen to you, and it goes to show, they don't care about anyone's health
mistrust	Can we really trsut doctors these days, when they're all being controlled and paid by the big pharma companies
mistrust	Anything "they" say is good for you, do the opposite!!
