source	theme	text
Morgan2025	Negative health effects	“13-YEAR OLD BOY GOT PARALYZED FROM NECK DOWN AFTER#Gardasil #HPV #Vaccine https://t.co/qs5Mmxkez7 #VaccineInjury https://t.co/GX8GGA7y1z
Morgan2025	Negative health effects	“10% of girls who received the #HPV vaccine ended up in the ER within 42 days - some with reactions & side effects that destroy their lives. @RealCandaceO @eileeniorio @delbigtree	@talialikeitis @ChildrensHD @picphysicians @va_shiva @VaccineResist https://t.co/W4npGxkzO8 https://t.co/Ynl5olX18L”
Morgan2025	Negative health effects	“Interesting, had the #HPVvaccine but still got #hpv. So the vaccine is not only ineffective but can also cause #death, cervical cancer and a whole lot of other life changing symptoms. https://t.co/XInr3Gc0Bs”
Morgan2025	Conspiracy	“@POtuS @REALDonaldtRump Merck wants American parents to take their children for an injection that will #KILL 1% of them, permanently disable God knows how many more, to prevent a disease that wouldn't kill a minute fraction of #kill rate of #HPV #vaccine. Your opinion? https://t.co/4pAHnVtUy5”
Dempsey2018	Cost	“And some people are like, OK, where can I go? Or how much is it going to cost me? And do I have to pay? Can I get it free? So those were the main things that I know actually affect the difference [of whether people will get the vaccine].”
Dempsey2018	Sexual promiscuity	“I think people are afraid; what I've heard from other friends who have daughters, is they are afraid it is a ‘free for all.’ Because their daughter has [the vaccine], they think they are free and clear and they are going to be protected and they are just having sex.”
Dempsey2018	Lack of preventive care	“If you do not have a history in your family [of] these problems … you say, ‘No, not me. It won't happen to me. My family never had [HPV], and there is no chance of me getting [it]. You see these diseases [as being] far from you.”
Dempsey2018	Lack of preventive care	“As Hispanics we think that we won't get the diseases. [You say,] ‘No … I'm healthy, and I feel fine, my kids feel fine, and this and that,’ and so we refuse to go to the doctor, because we want to do everything at home, with home remedies only.”
Dempsey2018	Conflicts with religious values	“I think all the women in my family are very supportive of [the HPV vaccine]. But the males in my family, who have daughters, they are really kind of wary about it and in denial. ‘She doesn't need it,’ and that kind of thing. Going back to [that] they don't want to encourage their teenager to have sex.”
Dempsey2018	Need for introductory information	“The symptoms … for example, if I get the [HPV] virus, I won't have the symptoms tomorrow, or the day after tomorrow…. So, then you say, OK, you have contracted this virus, but … what are the symptoms to notice—temperature, fatigue, or what are they?”
Dempsey2018	Need for introductory information	“Why isn't there a study that says that it's proven that [the HPV vaccine] protects? I mean, I haven't heard so much of them saying, ‘Yes, look, it works,’ how it works, or that there are testimonies that say it worked. Better yet, I think that those of us who are not sure if it is unsafe [are not sure] because of this lack of information.”
Dempsey2018	Need for statistical information	“It is important to know where and who this type of thing affects, and if it affects everybody all over the country. So, to have statistics to weigh against your [own] statistics … would be a good idea.”
Dempsey2018	Need for sStatistical information	“I like the nationwide statistics. It is interesting to see the HPV and STD rates across America. Just to see how different areas are … affected by it compared to us.”
Anoop2023	Mpox Symptoms	“……pox means pustules - like big pus-filled pimples. Pustules break open and leak fluid. The fluid can spread the disease. They leave scars called poxmarks, too…….”
Anoop2023	Mpox Symptoms	“……symptoms typically present themselves within 1–4 weeks of exposure………”
Anoop2023	Mpox Symptoms	“……I have a question about swollen lymph nodes. I realize this commonly presents in the early stages, but is there a timeframe that we know of when the swelling subsides?……”
Anoop2023	Mpox Transmissions	“……spreads through surface transmission (cups etc) as does Meningococcal disease, which is fatal……”
Anoop2023	Mpox Transmissions	“……unless we see significant changes in viral behavior towards more transmission from casual contact or surfaces, it's unlikely……”
Anoop2023	Mpox Transmissions	“ ……question: are shoes (meaning, the soles of your shoes) a concern in regards to the spread? As in, if I walk around a public place and virus has been shed, is it likely I could track it in my home/other places via shoes?……”
Anoop2023	Affected Body Parts	“……it can enter in through broken skin such as cuts, scrapes, scratches, as well as the mucous membranes that you mentioned……”
Anoop2023	Affected Body Parts	“……effects your mucous membrane (wherever you are pink and moist)…….”
Anoop2023	Affected Body Parts	“……it actually happened to me right as covid was blowing up, testing wasn't a thing and i still wonder if it was covid rash. hands, palms, arms, chest and back, legs, feet, toes and soles……”
Anoop2023	International Travel	“……one person arrives with the virus at the airport, infects 2 people, those 2 people fly back to their countries, those 2 infect 4 more, those 4 fly back to their countries and infect 16 more……”
Anoop2023	International Travel	“……that would require someone to willingly travel to Alabama to be Patient Zero……”
Anoop2023	International Travel	“……I just read Monkeypox has been pretty common in Africa for a long time. I think we can blame more international travel for all of these pandemics……”
Anoop2023	Social Media	“……instagram and other social media aren't reliable sources of information (outside of the pages of actual public health organizations and sometimes medical professionals, although even there your milage may vary)……”
Anoop2023	Social Media	“……concerned at the number of women online on Tik Tok who have had this and I suspect the numbers will change rapidly with it now being a reportable disease to the CDC……”
Anoop2023	Social Media	“……it stops if you get off the social media tit. Seriously. Search your feelings, you know its true……”
Anoop2023	Safety Measures	“……I wore a mask and stayed indoors when I could and got my shots, boom done……”
Anoop2023	Safety Measures	“……it's just chickenpox, no one will notice with my mask anyways…….”
Anoop2023	Safety Measures	“……we do not have a vaccine for this we have it for smallpox a it seems given the similarities that one ‘works’.”
Anoop2023	Government Interventions	“……the sense I'm getting isn't that people are afraid of dying but of catching it in general and there being another round of lockdowns (or similar restrictions again)……”
Anoop2023	Government Interventions	“….the good news is that in the real world, our governments have always been truthful and honest and never done any shady shit ever and always looked out for our best interests……”
Anoop2023	Government Interventions	“……the lockdowns were insanely ineffective, funneled money to big pharma and amazon as well as improved the democrats chances……”
Anoop2023	Mpox Vaccination	“……we're about to go into pride weekend. We could easily target advice and vaccinations to people most likely to be impacted……”
Anoop2023	Mpox Vaccination	“……pfizer gonna roll out a vaccine for this one too?………”
Anoop2023	Mpox Vaccination	“……you really don't know what you're taking about. One of the required vaccines for kids (and adults get boosted every 10 years) is DTaP, for diphtheria, tetanus, and pertussis……”
Anoop2023	Anti-Government	“……big pharma continuing to get massive government contract……”
Anoop2023	Anti-Government	“……because the US government doesn't have any desire to take action on a public health emergency again after COVID……”
Anoop2023	Anti-Government	“……this happened with HIV, governments just ignored the suffering and pushed stigmatisation to protect the people they gave a shit about……”
Anoop2023	Homophobia	“……wildfire in the gay community and its going to be seen as homophobic to target the gale (male) community……”
Anoop2023	Homophobia	“……it's not just homophobic, it's also a strategy that has never worked in history. People got laid on Tinder even during the COVID lockdowns……”
Anoop2023	Homophobia	“……this kind of homophobic attitude is precisely how the AIDs crisis got so out of control……”
